,season,player_id,player_name,position,team,conference,overall_incl_gt,pass_incl_gt,rush_incl_gt,firstDown_incl_gt,secondDown_incl_gt,thirdDown_incl_gt,standardDowns_incl_gt,passingDowns_incl_gt,overall_excl_gt,pass_excl_gt,rush_excl_gt,firstDown_excl_gt,secondDown_excl_gt,thirdDown_excl_gt,standardDowns_excl_gt,passingDowns_excl_gt,last_updated
452,2019,4037293,Lucas Johnson,QB,Georgia Tech,ACC,0.1127,0.1893,0.0584,0.1147,0.094,0.148,0.099,0.137,0.1127,0.1893,0.0584,0.1147,0.094,0.148,0.099,0.137,2019-11-12 22:50:18
453,2019,4035995,Jawon Pass,QB,Louisville,ACC,0.1119,0.2152,0.0404,0.0984,0.119,0.119,0.078,0.178,0.1119,0.2152,0.0404,0.0984,0.119,0.119,0.078,0.178,2019-11-12 22:50:18
454,2019,4244598,Keylon Stokes,WR,Tulsa,American Athletic,0.1114,0.2037,0.0208,0.1094,0.102,0.136,0.088,0.149,0.1114,0.2037,0.0208,0.1094,0.102,0.136,0.088,0.149,2019-11-12 22:50:18
455,2019,3921681,Bailey Gaither,WR,San José State,Mountain West,0.1113,0.1721,0.0,0.1131,0.108,0.115,0.1,0.135,0.1113,0.1721,0.0,0.1131,0.108,0.115,0.1,0.135,2019-11-12 22:50:18
456,2019,4052008,Jacqez Hairston,RB,Coastal Carolina,Sun Belt,0.1107,0.0043,0.1952,0.1144,0.076,0.136,0.145,0.026,0.1107,0.0043,0.1952,0.1144,0.076,0.136,0.145,0.026,2019-11-12 22:50:18
457,2019,4371942,Matt Robinson,QB,Illinois,Big Ten,0.1107,0.1964,0.0353,0.0775,0.126,0.153,0.092,0.146,0.1107,0.1964,0.0353,0.0775,0.126,0.153,0.092,0.146,2019-11-12 22:50:18
458,2019,4361198,Maurice Washington,RB,Nebraska,Big Ten,0.1105,0.0614,0.1455,0.1193,0.119,0.084,0.118,0.093,0.1105,0.0614,0.1455,0.1193,0.119,0.084,0.118,0.093,2019-11-12 22:50:18
459,2019,3858944,Blake Barnett,QB,South Florida,American Athletic,0.1102,0.1931,0.0261,0.1026,0.084,0.16,0.092,0.146,0.1102,0.1931,0.0261,0.1026,0.084,0.16,0.092,0.146,2019-11-12 22:50:18
460,2019,3923365,Deangelo Antoine,WR,Florida Atlantic,Conference USA,0.1102,0.1952,0.0194,0.1285,0.091,0.113,0.101,0.127,0.1102,0.1952,0.0194,0.1285,0.091,0.113,0.101,0.127,2019-11-12 22:50:18
461,2019,4374141,Jordan Byrd,RB,San Diego State,Mountain West,0.11,0.042,0.1589,0.1489,0.087,0.086,0.134,0.067,0.11,0.042,0.1589,0.1489,0.087,0.086,0.134,0.067,2019-11-12 22:50:18
